created,text,retwc,hashtag,followers,friends
2017-12-06 14:40:39,b'RT @iScrew: 20. ignored their difficulties after demonetisation and GST. Rajkot Market Yard has long been lobbying with Rupani government f\xe2\x80\xa6',26,None,3000,386
2017-12-06 14:40:22,"b""All you need to know about India's  demonetisation move. https://t.co/3O4YcOQoPI""",0,None,100,460
2017-12-06 14:40:00,b'RT @AshokTanwar_INC: VP visited the textile and diamond industries in Surat on Nov 8th and spoke to people who work there. The people compl\xe2\x80\xa6',328,None,317,420
2017-12-06 14:38:07,"b'RT @kukk44: \xe2\x80\x9cHe, Modi spent two percent of India\'s GDP in implementing demonetisation, now he wants to celebrate it too,"" Rahul Gandhi \n\n#\xe2\x80\xa6'",59,None,654,769
2017-12-06 14:37:01,"b'RT @ajaykumar2697: In the year 1978,\nMorarji Desai government had also banned the high denomination notes. The notes of Rs.1000, 5,000 &amp;10,\xe2\x80\xa6'",326,None,12031,1351
2017-12-06 14:36:32,b'RT @CaptAjayYadav: All country eyes are focused on Gujarat in the coming elections on 9 and 14 December as to how PM Modi will taste his de\xe2\x80\xa6',11,None,107,145
2017-12-06 14:36:16,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,3128,2050
2017-12-06 14:36:14,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,76,24
2017-12-06 14:36:10,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,69,93
2017-12-06 14:35:37,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,999,1471
2017-12-06 14:35:30,"b'RT @narendramodi: Here are the benefits of demonetisation, encapsulated in this short film. Have a look. #AntiBlackMoneyDay https://t.co/rP\xe2\x80\xa6'",16740,AntiBlackMoneyDay,2323,4425
2017-12-06 14:33:16,b'RT @iScrew: When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nWhen bullet tra\xe2\x80\xa6',166,None,450,2151
2017-12-06 14:33:13,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,739,750
2017-12-06 14:31:57,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,1410,1128
2017-12-06 14:31:56,b'RT @iScrew: 20. ignored their difficulties after demonetisation and GST. Rajkot Market Yard has long been lobbying with Rupani government f\xe2\x80\xa6',26,None,1199,200
2017-12-06 14:31:23,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,60,151
2017-12-06 14:30:42,b'RT @DrSaniaMaan: Deen Dayal Upadhyay Ittefaq Yojna:\n\n1) All malfunctioned EVMs voting for BJP.\n\n2) ED raided Mahesh Shah just before he was\xe2\x80\xa6',334,None,1045,165
2017-12-06 14:30:16,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,723,222
2017-12-06 14:29:56,b'RT @DrJyotiKiranBJP: #FMJaitley : India set to be very attractive for doing business. #dividendofDemonetization #Demonetisation @arunjaitle\xe2\x80\xa6',120,FMJaitley,22,132
2017-12-06 14:29:55,"b'RT @quickbug: I was sceptical earlier. But now it makes sense.\nThe decisions he has taken demonetisation, GST definitely seem to be by a pe\xe2\x80\xa6'",2,None,739,142
2017-12-06 14:29:33,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,723,222
2017-12-06 14:29:25,b'RT @hallagullaboy: @AamAadmiParty #Demonetisation is the biggest scam of India',5,Demonetisation,869,909
2017-12-06 14:28:43,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,539,936
2017-12-06 14:27:22,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,551,26
2017-12-06 14:27:11,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,1532,2319
2017-12-06 14:26:41,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,44,860
2017-12-06 14:26:07,"b'RT @quickbug: I was sceptical earlier. But now it makes sense.\nThe decisions he has taken demonetisation, GST definitely seem to be by a pe\xe2\x80\xa6'",2,None,640,612
2017-12-06 14:25:53,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,156,139
2017-12-06 14:25:18,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,380,171
2017-12-06 14:25:10,b'He said the aim of demonetisation was to check corruption and get the entire money in circulation into the banking\xe2\x80\xa6 https://t.co/ICi6meunmn',0,None,353,87
2017-12-06 14:24:34,b'RT @mpvadodara: The Multi-dimensional Success of Demonetisation\n\nvia NMApp https://t.co/Y6SeUVWro0',19,None,497,2948
2017-12-06 14:23:53,b'RT @DrSaniaMaan: Deen Dayal Upadhyay Ittefaq Yojna:\n\n1) All malfunctioned EVMs voting for BJP.\n\n2) ED raided Mahesh Shah just before he was\xe2\x80\xa6',334,None,29,150
2017-12-06 14:23:14,b'RT @iScrew: When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nWhen bullet tra\xe2\x80\xa6',166,None,188,187
2017-12-06 14:22:25,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,455,150
2017-12-06 14:22:23,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,164,177
2017-12-06 14:22:10,b'RT @DrSaniaMaan: Deen Dayal Upadhyay Ittefaq Yojna:\n\n1) All malfunctioned EVMs voting for BJP.\n\n2) ED raided Mahesh Shah just before he was\xe2\x80\xa6',334,None,1875,221
2017-12-06 14:21:49,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,200,355
2017-12-06 14:21:48,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,3441,174
2017-12-06 14:21:47,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,5,92
2017-12-06 14:21:41,"b'RT @pawanbansal_chd: Despite voting for their own CM as PM of India, Gujaratis got nothing in return except terribly exacting and harassmen\xe2\x80\xa6'",17,None,1365,4518
2017-12-06 14:20:36,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,2432,1028
